ID,Gate,Fase,Semana_Sugerida,Prioridad,Bloquea_GoLive,Tarea,Rol_Responsable,Responsable_Nombre,Fecha_Planificada,Fecha_Real,Estado,Evidencia,Notas,Referencia_Doc
MILE-G0,,0,1,Alta,No,HITO — Fase 0 Deploy completado,Infra,,,,Pendiente,,Build + IIS + tests,HOJA_RUTA §3
F0-01,,0,1,Alta,Sí,Build Release sin errores,Dev,,,,Pendiente,,Visual Studio Build Solution,CHECKLIST_IIS Pre-deploy
F0-02,,0,1,Alta,Sí,Tests unitarios AOCR.Tests todos verdes,Dev,,,,Pendiente,,~95 tests Test Explorer,AOCR.Tests
F0-03,,0,1,Alta,Sí,Publicar FolderProfile4 a publicacion1,Dev,,,,Pendiente,,Verificar timestamps DLL,MANUAL_TECNICO §10
F0-04,,0,1,Alta,Sí,Reciclar App Pool IIS,Infra,,,,Pendiente,,Reinicio confirmado,GUIA_PRUEBAS §0.2
F0-05,,0,1,Media,No,Ctrl+F5 / incógnito en pruebas,QA,,,,Pendiente,,Sin caché CSS/JS,GUIA_PRUEBAS §0.3
F0-06,,0,1,Media,No,Tag Git + release notes borrador,Dev,,,,Pendiente,,v2026.06.xx,Operación estándar
MILE-GA,Gate A,1,1,Alta,Sí,HITO — Gate A regresión 8/8,QA,,,,Pendiente,,Escenarios A-D,GUIA_PRUEBAS_POST_REPUBLICACION
GA-A1,Gate A,1,1,Alta,Sí,Escenario A — /Tecnico sin texto azul fantasma,Coordinación,,,,Pendiente,,Captura pantalla,GUIA_PRUEBAS Esc.A
GA-B2,Gate A,1,1,Alta,Sí,Escenario B2 — Firma coord #12 → Pendiente Asignacion RT,Coordinación,,,,Pendiente,,Log FirmarAceptacionDocumental,GUIA_PRUEBAS Esc.B2
GA-B3,Gate A,1,1,Alta,Sí,Escenario B3 — Descarga constancia NO cierra Finalizado,RT,,,,Pendiente,,Estado antes/después PDF,GUIA_PRUEBAS Esc.B3
GA-B4,Gate A,1,1,Alta,Sí,Escenario B4 — Asignar inspector #12 → En Inspeccion,Coordinación,,,,Pendiente,,Log GestionInspeccion,GUIA_PRUEBAS Esc.B4
GA-C2,Gate A,1,1,Alta,Sí,Escenario C2 — Mod con aeropuertos solo cierre fase,Inspector,,,,Pendiente,,ID solicitud mod:,GUIA_PRUEBAS Esc.C2
GA-C3,Gate A,1,1,Alta,Sí,Escenario C3 — RT panel orden OrdenRecaudacion/Nueva,RT,,,,Pendiente,,,GUIA_PRUEBAS Esc.C3
GA-D,Gate A,1,1,Alta,Sí,Escenario D — Mod sin aeropuertos ramas CL/inspección,Inspector,,,,Pendiente,,ID solicitud mod:,GUIA_PRUEBAS Esc.D
GA-A8,Gate A,1,1,Alta,Sí,Tests unitarios ejecutados y archivados,Dev,,,,Pendiente,,Resultado Test Explorer,HOJA_RUTA GA-A8
MILE-GB,Gate B,2,1-2,Crítica,Sí,HITO — Gate B emisión #12 hasta AOCR emitido,PO,,,,Pendiente,,PDF RT en GeneradasFirmadas,MANUAL_FLUJO_RT_A_AOCR
GB-E2E01,Gate B,2,1,Alta,Sí,E2E-01 RT solicitud + orden + comprobante,RT,,,,Pendiente,,Solicitud #12,HOJA_RUTA §5.1
GB-E2E02,Gate B,2,1,Alta,Sí,E2E-02 Financiero aprobar pago,Financiero,,,,Pendiente,,,HOJA_RUTA §5.1
GB-E2E03,Gate B,2,1,Alta,Sí,E2E-03 RT cargar docs + enviar → En Revision,RT,,,,Pendiente,,,HOJA_RUTA §5.1
GB-COO1A,Gate B,2,2,Alta,Sí,COO-1a Revisión COO-1 + firma → Pendiente Asignacion RT,Coordinación,,,,Pendiente,,,HOJA_RUTA §5.1
GB-COO1B,Gate B,2,2,Alta,Sí,COO-1b Asignar inspector 43 → En Inspeccion,Coordinación,,,,Pendiente,,Inspección #11,HOJA_RUTA §5.1
GB-INS1A,Gate B,2,2,Crítica,Sí,INS-1a Revisión doc modo=revision 12 docs PENDIENTE,Inspector,,,,Pendiente,,Captura PNG fase 8,GUIA_INSPECTOR §2
GB-INS1B,Gate B,2,2,Crítica,Sí,INS-1b Confirmar cierre documental inspección 11,Inspector,,,,Pendiente,,,GUIA_INSPECTOR §2
GB-INS1C,Gate B,2,2,Crítica,Sí,INS-1c LV finalizada + firmada .p12,Inspector,,,,Pendiente,,Certificado inspector,MANUAL_TECNICO §16
GB-INS1D,Gate B,2,2,Crítica,Sí,INS-1d Informe firmado → ENVIADO_A_DIRDAC,Inspector,,,,Pendiente,,,MANUAL_TECNICO §17
GB-DIR1,Gate B,2,2,Crítica,Sí,DIR-1 DIRDAC aprobar informe → AOCR En Elaboracion,DIRDAC,,,,Pendiente,,PendientesDireccion,HOJA_RUTA §5.1
GB-COO2,Gate B,2,2,Alta,Sí,COO-2 Coordinación ValidarAocr → AOCR En Revision,Coordinación,,,,Pendiente,,,HOJA_RUTA §5.1
GB-DIR2,Gate B,2,2,Crítica,Sí,DIR-2 DIRDAC firma AOCR → AOCR Emitido/Recibido,DIRDAC,,,,Pendiente,,Certificado DIRDAC,HOJA_RUTA §5.1
